"ExpectedCategory","N","N_exists","TP","FP_wrong_cat","FP_empty_leak","FP_non_hk_leak","FN","TN","Precision","Recall","F1","Hits","Aftermarket_pct","Specs_pct","Vehicles_pct","Supersession_pct","OEMNumbers_pct"
"Unknown","439","400","0","0","0","0","400","39","0","0","0","0","0","0","0","0","0"
"<blank>","100","0","0","0","0","38","0","62","0","0","0","38","68.4","31.6","0","7.9","65.8"
"Wiring Harness","49","48","0","22","0","0","26","1","0","0","0","22","0","0","0","0","0"
"Exterior Mirror","46","46","0","44","0","0","2","0","0","0","0","44","0","0","0","0","0"
"Headlight - Front Right","40","40","2","37","0","0","1","0","0.051","0.667","0.095","39","0","0","0","0","0"
"Shock Absorber - Front","40","40","37","2","0","0","1","0","0.949","0.974","0.961","39","5.1","0","0","0","5.1"
"Headlight - Front Left","38","38","3","35","0","0","0","0","0.079","1","0.146","38","0","0","0","0","0"
"Mirrors","38","33","0","24","0","0","9","5","0","0","0","24","0","0","0","0","0"
"Cabin Air Filter","26","26","17","7","0","0","2","0","0.708","0.895","0.791","24","8.3","0","0","0","4.2"
"Brake Pad Set - Front","22","22","22","0","0","0","0","0","1","1","1","22","13.6","13.6","0","9.1","13.6"
"Oxygen Sensor","20","20","5","13","0","0","2","0","0.278","0.714","0.4","18","0","0","0","0","0"
"Tail Light - Rear Left","20","20","16","3","0","0","1","0","0.842","0.941","0.889","19","0","0","0","0","0"
"Tail Light - Rear Right","20","20","19","0","0","0","1","0","1","0.95","0.974","19","0","0","0","0","0"
"Instrument Panel / Dashboard","18","15","0","8","0","0","7","3","0","0","0","8","0","0","0","0","0"
"Manual Transmission","18","17","0","17","0","0","0","1","0","0","0","17","5.9","0","0","0","0"
"Radiator","16","16","14","1","0","0","1","0","0.933","0.933","0.933","15","13.3","6.7","0","6.7","13.3"
"Power Window Motor - Front","15","15","15","0","0","0","0","0","1","1","1","15","0","0","0","0","0"
"Glass / Windshield","14","12","0","12","0","0","0","2","0","0","0","12","0","0","0","0","0"
"Brake Pad Set - Rear","14","14","14","0","0","0","0","0","1","1","1","14","28.6","7.1","0","7.1","28.6"
"Weatherstrip & Seal","14","13","0","12","0","0","1","1","0","0","0","12","8.3","0","0","0","0"
"Brake Disc - Rear","13","13","13","0","0","0","0","0","1","1","1","13","7.7","0","0","0","7.7"
"Front Body / Hood","13","9","0","8","1","0","1","3","0","0","0","9","0","0","0","0","0"
"Brake Disc - Front","12","12","12","0","0","0","0","0","1","1","1","12","8.3","0","0","0","0"
"Ignition System","12","7","0","7","0","0","0","5","0","0","0","7","0","0","0","0","0"
"Sensors & Modules","12","9","0","8","0","0","1","3","0","0","0","8","0","0","0","0","0"
"Front Differential","12","11","0","7","1","0","4","0","0","0","0","8","0","0","0","0","0"
"Sunroof","11","7","0","5","0","0","2","4","0","0","0","5","0","0","0","0","0"
"Mouldings & Trim","11","10","0","9","0","0","1","1","0","0","0","9","0","0","0","0","0"
"Oil Filter","11","11","10","0","0","0","1","0","1","0.909","0.952","10","10","0","0","0","0"
"Fender & Side Body","11","8","0","7","0","0","1","3","0","0","0","7","0","0","0","0","0"
"Interior Trim","10","9","0","4","0","0","5","1","0","0","0","4","0","0","0","0","0"
"Fuel System","10","6","0","5","1","0","1","3","0","0","0","6","0","0","0","0","0"
"Sensors & Control","10","8","0","5","0","0","3","2","0","0","0","5","0","0","0","0","0"
"Compressor A/C","10","10","0","9","0","0","1","0","0","0","0","9","0","0","0","0","0"
"Battery & Charging","10","7","0","6","3","0","1","0","0","0","0","9","0","0","0","0","0"
"Rear Suspension","9","7","0","7","1","0","0","1","0","0","0","8","0","0","0","0","0"
"Air Filter","8","8","8","0","0","0","0","0","1","1","1","8","25","0","0","0","12.5"
"Water Pump","8","7","3","3","0","0","1","1","0.5","0.75","0.6","6","0","0","0","0","0"
"Bumper","8","4","0","3","0","0","1","4","0","0","0","3","0","0","0","0","0"
"Front Structure","7","3","0","3","0","0","0","4","0","0","0","3","0","0","0","0","0"
"Transaxle","7","1","0","1","2","0","0","4","0","0","0","3","0","0","0","0","0"
"Thermostat","7","7","1","5","0","0","1","0","0.167","0.5","0.25","6","0","0","0","0","0"
"Engine Block & Internals","7","6","0","6","1","0","0","0","0","0","0","7","0","0","0","0","0"
"Condenser","7","7","0","5","0","0","2","0","0","0","0","5","0","0","0","0","0"
"Engine Mounting","7","4","0","4","1","0","0","2","0","0","0","5","0","0","0","0","0"
