"ExpectedSystem","N","F1_hit","F1_correct","AvgRepl_correct","AvgAM_correct","AvgOEMxRef_correct","F1_rich3","F1_rich5","F1_rich10"
"Unknown","439","0","0","0","0","0","0","0","0"
"Electrical","272","0.892","0.314","0","0","0","0","0","0"
"Body","224","0.915","0.155","0","0","0","0","0","0"
"<blank>","100","0","0","0","0","0","0","0","0"
"Engine","84","0.94","0.506","0.19","0.14","0.05","0","0","0"
"Suspension","82","0.964","0.754","0.09","0.05","0.05","0","0","0"
"Brakes","80","0.98","0.892","0.44","0.21","0.18","0.099","0.026","0"
"HVAC","54","0.907","0.507","0.17","0.11","0.06","0","0","0"
"Drivetrain","45","0.842","0.059","0","0","0","0","0","0"
"Cooling","34","0.951","0.72","0.33","0.11","0.17","0.061","0","0"
"Interior","33","0.667","0","0","0","0","0","0","0"
"Transmission","26","1","0","0","0","0","0","0","0"
"Exhaust","7","1","0","0","0","0","0","0","0"
"Safety","6","0.889","0","0","0","0","0","0","0"
"Maintenance","4","0.667","0","0","0","0","0","0","0"
