"OEM","Slice","GroundTruth","ExpectedCategory","ExpectedSystem","GoodTokens","CorrectClass","FailReason","Total","FirstDesc","FirstBrand","FirstCategory","AftermarketCount","OEMNumbersCount","HasSupersession","ReplTotal","ElapsedS","IsTimeout"
"28113-J5300","real_hk_seeded","exists","Air Filter","Engine","air,filter","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","11","Air Filter","Hyundai / KIA","Engine / Air Filter","0","0","False","0","10.55","False"
"45621-4G400","real_hk_coarse","exists","Manual Transmission","Transmission","manual,transmission","FP","WRONG-PART: expected 'manual,transmission' but got 'PISTON - LOWER &amp; REVERSE BRAKE'","1","PISTON - LOWER &amp; REVERSE BRAKE","Hyundai / KIA","Transmission / Manual Transmission","0","0","False","0","2.16","False"
"05203-R0500","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.71","False"
"58302-CVA50","real_hk_seeded","exists","Brake Pad Set - Rear","Brakes","brake,pad,set,rear","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Brake Pad Set, disc brake for Hyundai Staria (2021+)","Hyundai","Brakes / Brake Pad Set","0","0","False","0","2.92","False"
"87610-AT440","real_hk_seeded","exists","Exterior Mirror","Body","exterior,mirror","FP","WRONG-PART: expected 'exterior,mirror' but got 'Outside Mirror'","1","Outside Mirror","Hyundai / KIA","/ Outside Mirror","0","0","False","0","4.39","False"
"39222-2S000","real_hk_coarse","exists","Oxygen Sensor","Electrical","oxygen,sensor","FP","WRONG-PART: expected 'oxygen,sensor' but got 'EXTENSION WIRE'","1","EXTENSION WIRE","Hyundai / KIA","Electrical / Oxygen Sensor","0","0","False","0","2.27","False"
"99910-AT300","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.57","False"
"51712-L0000","real_hk_seeded","exists","Brake Disc - Front","Brakes","brake,disc,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Brake Disc","Hyundai / KIA","Brakes / Brake Disc","0","0","False","0","3.82","False"
"31111-J4100","real_hk_coarse","exists","Front Differential","Drivetrain","front,differential","FP","WRONG-PART: expected 'front,differential' but got 'Fuel Pump'","2","Fuel Pump","Hyundai / KIA","/ Fuel Pump","0","0","False","0","2.24","False"
"99110-CV000","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.6","False"
"54650-G0500","real_hk_seeded","exists","Shock Absorber - Front","Suspension","shock,absorber,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Shock Absorber (Rear)","Hyundai / KIA","Suspension / Shock Absorber / Strut","0","0","False","0","3.02","False"
"86531-P1000","real_hk_coarse","exists","Mirrors","Body","mirrors","FP","WRONG-PART: expected 'mirrors' but got 'Support, bumper for Kia Sportage (2021+)'","2","Support, bumper for Kia Sportage (2021+)","Kia"," / Support, bumper","0","0","False","0","3.18","False"
"99240-S9700","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.49","False"
"87610-M7011","real_hk_seeded","exists","Exterior Mirror","Body","exterior,mirror","FP","WRONG-PART: expected 'exterior,mirror' but got 'Outside Mirror'","1","Outside Mirror","Hyundai / KIA","/ Outside Mirror","0","0","False","0","4.01","False"
"58411-L1000","real_hk_seeded","exists","Brake Disc - Rear","Brakes","brake,disc,rear","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Brake Disc for Hyundai Sonata (2020+)","Hyundai","Brakes / Brake Disc","0","0","False","0","2.31","False"
"31112-C0000","real_hk_seeded","exists","Fuel Filter","Engine","fuel,filter","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","FILTER - FUEL PUMP","Hyundai / KIA","Drivetrain / Front Differential","0","0","False","0","2.83","False"
"93530-P1000","real_hk_coarse","exists","Lighting - Interior","Electrical","lighting,interior","FN","no results","0","","","","0","0","False","0","4.14","False"
"99211-P1040","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.48","False"
"39350-3N600","real_hk_seeded","exists","MAF Sensor","Electrical","maf,sensor","FP","WRONG-PART: expected 'maf,sensor' but got 'Sensor, camshaft position (Passenger)'","2","Sensor, camshaft position (Passenger)","Hyundai / KIA"," / Sensor, camshaft position","0","0","False","0","2.72","False"
"99240-Q5500","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.51","False"
"82460-CV010","real_hk_seeded","exists","Power Window Motor - Front","Body","power,window,motor,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Electric Motor, window regulator (Front Right) for Hyundai Staria (2021+)","Hyundai"," / Electric Motor, window regulator","0","0","False","0","3.01","False"
"58411-CV200","real_hk_seeded","exists","Brake Disc - Rear","Brakes","brake,disc,rear","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Brake Disc for Hyundai Staria (2021+)","Hyundai","Brakes / Brake Disc","0","0","False","0","2.19","False"
"87610-P1070","real_hk_seeded","exists","Exterior Mirror","Body","exterior,mirror","FP","WRONG-PART: expected 'exterior,mirror' but got 'Outside Mirror for Kia Sportage (2021+)'","1","Outside Mirror for Kia Sportage (2021+)","Kia","/ Outside Mirror","0","0","False","0","3.14","False"
"94011-R5210","real_hk_coarse","exists","Audio & Display","Electrical","audio,display","FN","no results","0","","","","0","0","False","0","3.18","False"
"05203-DW400","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.53","False"
"92101-A9440","real_hk_seeded","exists","Headlight - Front Left","Electrical","headlight,front,left","FP","WRONG-PART: expected 'headlight,front,left' but got 'Headlight for Kia Carnival (2014-2020)'","1","Headlight for Kia Carnival (2014-2020)","Kia","Electrical / Headlight Assembly","0","0","False","0","5.17","False"
"95460-Q5700","real_hk_coarse","exists","Sensors & Modules","Electrical","sensors,modules","FN","no results","0","","","","0","0","False","0","3.36","False"
"12413-04103","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.97","False"
"92402-P1120","real_hk_seeded","exists","Tail Light - Rear Right","Electrical","tail,light,rear,right","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight for Kia Sportage (2021+)","Kia","/ Combination Rearlight","0","0","False","0","4.18","False"
"82460-DW000","real_hk_seeded","exists","Power Window Motor - Front","Body","power,window,motor,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Electric Motor, window regulator","Hyundai / KIA"," / Electric Motor, window regulator","0","0","False","0","4.32","False"
"92402-K0510","real_hk_seeded","exists","Tail Light - Rear Right","Electrical","tail,light,rear,right","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight","Hyundai / KIA","/ Combination Rearlight","0","0","False","0","5.12","False"
"91510-M7792","real_hk_coarse","exists","Wiring Harness","Electrical","wiring,harness","FN","no results","0","","","","0","0","False","0","3.18","False"
"99240-P2000","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","1","False"
"97134-AT500","real_hk_seeded","exists","Cabin Air Filter","HVAC","cabin,air,filter","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Filter, interior air (Rear)","Hyundai / KIA","HVAC / Cabin Air Filter","0","0","False","0","5.05","False"
"92101-DW000","real_hk_seeded","exists","Headlight - Front Left","Electrical","headlight,front,left","FP","WRONG-PART: expected 'headlight,front,left' but got 'Headlight'","1","Headlight","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","3.23","False"
"92402-CV050","real_hk_seeded","exists","Tail Light - Rear Right","Electrical","tail,light,rear,right","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight for Hyundai Staria (2021+)","Hyundai","/ Combination Rearlight","0","0","False","0","4.17","False"
"92409-R0010","real_hk_coarse","exists","Tail Light Assembly","Electrical","tail,light,assembly","FP","WRONG-PART: expected 'tail,light,assembly' but got 'Charger, charging system (Front Right)'","2","Charger, charging system (Front Right)","Hyundai / KIA"," / Charger, charging system","0","0","False","0","3.22","False"
"12492-03101","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.85","False"
"26310-2T200","real_hk_seeded","exists","Oil Pan","Engine","oil,pan","FP","WRONG-PART: expected 'oil,pan' but got 'Brake Disc for Kia Optima (2010-2015)'","1","Brake Disc for Kia Optima (2010-2015)","Kia","Brakes / Brake Disc","0","0","False","0","3.31","False"
"54650-J5060","real_hk_seeded","exists","Shock Absorber - Front","Suspension","shock,absorber,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Shock Absorber","Hyundai / KIA","Suspension / Shock Absorber / Strut","0","0","False","0","2.42","False"
"92102-DW100","real_hk_seeded","exists","Headlight - Front Right","Electrical","headlight,front,right","FP","WRONG-PART: expected 'headlight,front,right' but got 'Headlight'","1","Headlight","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","4.23","False"
"23226-2T000","real_hk_coarse","exists","Cylinder Head & Valvetrain","Engine","cylinder,head,valvetrain","FP","WRONG-PART: expected 'cylinder,head,valvetrain' but got 'PLATE - ADAPTER'","1","PLATE - ADAPTER","Hyundai / KIA","Engine / Cylinder Head & Valvetrain","0","0","False","0","3.21","False"
"99910-R0BA0","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.53","False"
"92401-H9200","real_hk_seeded","exists","Tail Light - Rear Left","Electrical","tail,light,rear,left","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight","Hyundai / KIA","/ Combination Rearlight","0","0","False","0","4.15","False"
