"ExpectedCategory","N","N_exists","F1_hit","F1_correct","AvgRepl_correct","AvgAM_correct","AvgOEMxRef_correct","F1_rich3","F1_rich5","F1_rich10","correct_TP"
"Unknown","4390","4000","0.168","0.168","0.03","0.03","0.01","0","0","0","367"
"<blank>","1000","0","0","0","0","0","0","0","0","0","0"
"Wiring Harness","490","480","0.267","0","0","0","0","0","0","0","0"
"Exterior Mirror","460","460","0.474","0","0","0","0","0","0","0","0"
"Headlight - Front Right","400","400","0.505","0.044","0","0","0","0","0","0","9"
"Shock Absorber - Front","400","400","0.532","0.488","0.09","0.05","0.05","0","0","0","129"
"Headlight - Front Left","380","380","0.492","0.046","0","0","0","0","0","0","9"
"Mirrors","380","330","0.417","0","0","0","0","0","0","0","0"
"Cabin Air Filter","260","260","0.61","0.539","0.15","0.08","0.06","0","0","0","96"
"Brake Pad Set - Front","220","220","0.675","0.675","0.32","0.25","0.07","0.018","0","0","112"
"Oxygen Sensor","200","200","0.635","0.291","0","0","0","0","0","0","34"
"Tail Light - Rear Left","200","200","0.462","0.462","0","0","0","0","0","0","60"
"Tail Light - Rear Right","200","200","0.462","0.462","0","0","0","0","0","0","60"
"Instrument Panel / Dashboard","180","150","0.286","0","0","0","0","0","0","0","0"
"Manual Transmission","180","170","0.462","0","0","0","0","0","0","0","0"
"Radiator","160","160","0.632","0.615","0.17","0.08","0.08","0","0","0","71"
"Power Window Motor - Front","150","150","0.578","0.565","0","0","0","0","0","0","59"
"Glass / Windshield","140","120","0.481","0","0","0","0","0","0","0","0"
"Brake Pad Set - Rear","140","140","0.716","0.716","0.45","0.31","0.14","0.028","0","0","78"
"Weatherstrip & Seal","140","130","0.514","0","0","0","0","0","0","0","0"
"Brake Disc - Rear","130","130","0.693","0.693","0.23","0.12","0.12","0","0","0","69"
"Front Body / Hood","130","90","0.294","0","0","0","0","0","0","0","0"
"Brake Disc - Front","120","120","0.652","0.652","0.14","0.1","0.03","0","0","0","58"
"Ignition System","120","70","0.526","0","0","0","0","0","0","0","0"
"Sensors & Modules","120","90","0.512","0","0","0","0","0","0","0","0"
"Front Differential","120","110","0.338","0","0","0","0","0","0","0","0"
"Sunroof","110","70","0.333","0","0","0","0","0","0","0","0"
"Mouldings & Trim","110","100","0.496","0","0","0","0","0","0","0","0"
"Oil Filter","110","110","0.683","0.642","0.23","0.19","0.04","0.036","0","0","52"
"Fender & Side Body","110","80","0.462","0","0","0","0","0","0","0","0"
"Interior Trim","100","90","0.252","0","0","0","0","0","0","0","0"
"Fuel System","100","60","0.425","0","0","0","0","0","0","0","0"
"Sensors & Control","100","80","0.222","0","0","0","0","0","0","0","0"
"Compressor A/C","100","100","0.4","0","0","0","0","0","0","0","0"
"Battery & Charging","100","70","0.481","0","0","0","0","0","0","0","0"
"Rear Suspension","90","70","0.583","0","0","0","0","0","0","0","0"
"Air Filter","80","80","0.769","0.769","0.44","0.24","0.2","0","0","0","50"
"Water Pump","80","70","0.667","0.409","0","0","0","0","0","0","18"
