"Strategy","Slice","N","F1_hit","F1_correct","AvgRepl_correct","F1_rich5"
"cache","non_hk","100","0","0","0","0"
"cache","plausible_hk","200","0","0","0","0"
"cache","real_hk_coarse","400","0.775","0.044","0","0"
"cache","real_hk_seeded","390","0.999","0.75","0","0"
"cache","real_hk_unseeded","400","0.482","0.482","0","0"
"combined","non_hk","100","0","0","0","0"
"combined","plausible_hk","200","0","0","0","0"
"combined","real_hk_coarse","400","0.779","0.039","0","0"
"combined","real_hk_seeded","390","0.999","0.736","0.02","0"
"combined","real_hk_unseeded","400","0","0","0","0"
"cross_brand","non_hk","100","0","0","0","0"
"cross_brand","plausible_hk","200","0","0","0","0"
"cross_brand","real_hk_coarse","400","0.01","0","0","0"
"cross_brand","real_hk_seeded","390","0.143","0.138","0","0"
"cross_brand","real_hk_unseeded","400","0.01","0.01","0","0"
"cross_reference","non_hk","100","0","0","0","0"
"cross_reference","plausible_hk","200","0","0","0","0"
"cross_reference","real_hk_coarse","400","0.01","0","0","0"
"cross_reference","real_hk_seeded","390","0.143","0.138","0","0"
"cross_reference","real_hk_unseeded","400","0.01","0.01","0","0"
"exact_oem","non_hk","100","0","0","0","0"
"exact_oem","plausible_hk","200","0","0","0","0"
"exact_oem","real_hk_coarse","400","0.651","0.01","0","0"
"exact_oem","real_hk_seeded","390","0.622","0.471","0.7","0"
"exact_oem","real_hk_unseeded","400","0","0","0","0"
"keyword_gated","non_hk","100","0","0","0","0"
"keyword_gated","plausible_hk","200","0","0","0","0"
"keyword_gated","real_hk_coarse","400","0","0","0","0"
"keyword_gated","real_hk_seeded","390","0","0","0","0"
"keyword_gated","real_hk_unseeded","400","0","0","0","0"
"legacy","non_hk","100","0","0","0","0"
"legacy","plausible_hk","200","0","0","0","0"
"legacy","real_hk_coarse","400","0.651","0.01","0","0"
"legacy","real_hk_seeded","390","0.624","0.471","0.69","0"
"legacy","real_hk_unseeded","400","0.742","0.742","0.05","0"
"owned_catalog","non_hk","100","0","0","0","0"
"owned_catalog","plausible_hk","200","0","0","0","0"
"owned_catalog","real_hk_coarse","400","0","0","0","0"
"owned_catalog","real_hk_seeded","390","0","0","0","0"
"owned_catalog","real_hk_unseeded","400","0","0","0","0"
"prefix_inference","non_hk","100","0","0","0","0"
"prefix_inference","plausible_hk","200","0","0","0","0"
"prefix_inference","real_hk_coarse","400","0.553","0.039","0","0"
"prefix_inference","real_hk_seeded","390","1","0.75","0","0"
"prefix_inference","real_hk_unseeded","400","0","0","0","0"
"supersession","non_hk","100","0","0","0","0"
"supersession","plausible_hk","200","0","0","0","0"
"supersession","real_hk_coarse","400","0","0","0","0"
"supersession","real_hk_seeded","390","0","0","0","0"
"supersession","real_hk_unseeded","400","0","0","0","0"
