"Strategy","N","F1_hit","F1_correct","AvgRepl_correct","AvgAM_correct","AvgOEMxRef_correct","F1_rich5","F1_rich10"
"cache","1490","0.759","0.455","0","0","0","0","0"
"legacy","1490","0.658","0.449","0.27","0.18","0.09","0","0"
"prefix_inference","1490","0.611","0.328","0","0","0","0","0"
"combined","1490","0.678","0.315","0.02","0.02","0","0","0"
"exact_oem","1490","0.469","0.184","0.69","0.45","0.24","0","0"
"cross_brand","1490","0.054","0.05","0","0","0","0","0"
"cross_reference","1490","0.054","0.05","0","0","0","0","0"
"keyword_gated","1490","0","0","0","0","0","0","0"
"owned_catalog","1490","0","0","0","0","0","0","0"
"supersession","1490","0","0","0","0","0","0","0"
