"OEM","Slice","GroundTruth","ExpectedSystem","ExpectedCategory","GoodTokens","ExpectedMake","Chassis","Prefix5"
"25310-R5500","real_hk_seeded","exists","Cooling","Radiator","radiator","Hyundai/Kia","R5","25310"
"39210-2M330","real_hk_seeded","exists","Electrical","Oxygen Sensor","oxygen,sensor","Hyundai/Kia","2M","39210"
"58411-J5000","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai/Kia","J5","58411"
"92102-Q5720","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Hyundai/Kia","Q5","92102"
"82460-L3010","real_hk_seeded","exists","Body","Power Window Motor - Front","power,window,motor,front","Hyundai/Kia","L3","82460"
"92101-K0620","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Hyundai/Kia","K0","92101"
"87610-P1180","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Kia","P1","87610"
"92102-R5200","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Hyundai/Kia","R5","92102"
"26350-2J001","real_hk_seeded","exists","Engine","Oil Filter","oil,filter","Hyundai/Kia","2J","26350"
"92102-P1080","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Kia","P1","92102"
"92101-S9130","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Hyundai/Kia","S9","92101"
"26310-2S000","real_hk_seeded","exists","Engine","Oil Pan","oil,pan","Hyundai","2S","26310"
"26300-2MHA0","real_hk_seeded","exists","Engine","Oil Filter","oil,filter","Hyundai/Kia","2M","26300"
"92402-Q5510","real_hk_seeded","exists","Electrical","Tail Light - Rear Right","tail,light,rear,right","Hyundai/Kia","Q5","92402"
"97134-AT310","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","AT","97134"
"92102-R0620","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Hyundai/Kia","R0","92102"
"92101-DW010","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Hyundai/Kia","DW","92101"
"97134-L5100","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","L5","97134"
"87610-H9780","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","H9","87610"
"92102-AT150","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Hyundai/Kia","AT","92102"
"51712-2L000","real_hk_seeded","exists","Brakes","Brake Disc - Front","brake,disc,front","Hyundai/Kia","2L","51712"
"58302-G9A20","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Genesis","G9","58302"
"54650-CV400","real_hk_seeded","exists","Suspension","Shock Absorber - Front","shock,absorber,front","Hyundai","CV","54650"
"25620-L0100","real_hk_seeded","exists","Cooling","Thermostat","thermostat","Hyundai/Kia","L0","25620"
"54650-AT100","real_hk_seeded","exists","Suspension","Shock Absorber - Front","shock,absorber,front","Hyundai/Kia","AT","54650"
"87610-AT420","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","AT","87610"
"92401-K0610","real_hk_seeded","exists","Electrical","Tail Light - Rear Left","tail,light,rear,left","Hyundai/Kia","K0","92401"
"92101-M7600","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Hyundai/Kia","M7","92101"
"92401-R0010","real_hk_seeded","exists","Electrical","Tail Light - Rear Left","tail,light,rear,left","Hyundai/Kia","R0","92401"
"82650-CV000","real_hk_seeded","exists","Body","Window Regulator - Front","window,regulator,front","Hyundai","CV","82650"
