"OEM","Slice","GroundTruth","ExpectedSystem","ExpectedCategory","GoodTokens","ExpectedMake","Chassis","Prefix5"
"AL3Z-6584-A","non_hk","non_hk","","","","","",""
"AL3Z-6731-C","non_hk","non_hk","","","","","",""
"AL3Z-9601-A","non_hk","non_hk","","","","","",""
"51712-G9200","real_hk_seeded","exists","Brakes","Brake Disc - Front","brake,disc,front","Genesis","G9","51712"
"58101-1UA20","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","1U","58101"
"26320-3N000","real_hk_seeded","exists","Engine","Oil Filter Element","oil,filter,element","Hyundai/Kia","3N","26320"
"97134-N9000","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai","N9","97134"
"58302-P2A30","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Hyundai/Kia","P2","58302"
"58411-L1100","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai","L1","58411"
"58302-G9A20","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Genesis","G9","58302"
"58101-J9A05","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","J9","58101"
"97134-Q5000","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","Q5","97134"
"58101-ATA00","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","AT","58101"
"26350-2S000","real_hk_seeded","exists","Engine","Oil Filter","oil,filter","Hyundai","2S","26350"
"26300-2MHA5","real_hk_seeded","exists","Engine","Oil Filter","oil,filter","Hyundai/Kia","2M","26300"
"58411-CV200","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai","CV","58411"
"58411-R0000","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai/Kia","R0","58411"
"58302-CVA50","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Hyundai","CV","58302"
"58411-P2700","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai/Kia","P2","58411"
"58411-J5500","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai/Kia","J5","58411"
"97133-N9000","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai","N9","97133"
"26300-2M805","real_hk_seeded","exists","Engine","Oil Filter","oil,filter","Hyundai/Kia","2M","26300"
"58101-N9A10","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai","N9","58101"
"28113-N9000","real_hk_seeded","exists","Engine","Air Filter","air,filter","Hyundai","N9","28113"
"58302-R0A00","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Hyundai/Kia","R0","58302"
"28113-2S000","real_hk_seeded","exists","Engine","Air Filter","air,filter","Hyundai","2S","28113"
"97133-N9100","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai","N9","97133"
"58101-3XA00","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai","3X","58101"
"58411-L1000","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai","L1","58411"
"51712-P2000","real_hk_seeded","exists","Brakes","Brake Disc - Front","brake,disc,front","Hyundai/Kia","P2","51712"
"58411-L0000","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai/Kia","L0","58411"
"58302-ATA00","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Hyundai/Kia","AT","58302"
"97134-L5100","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","L5","97134"
"58101-P0A10","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","P0","58101"
"51712-GI000","real_hk_seeded","exists","Brakes","Brake Disc - Front","brake,disc,front","Hyundai/Kia","GI","51712"
"26300-35505","real_hk_seeded","exists","Engine","Oil Filter","oil,filter","Hyundai/Kia","35","26300"
"97134-H9100","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","H9","97134"
"58101-J5A52","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","J5","58101"
"37527-K4010","real_hk_coarse","exists","Electrical","Ignition System","ignition,system","Hyundai/Kia","K4","37527"
"58101-CVA20","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai","CV","58101"
"97134-AO010","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","AO","97134"
"58101-F6A22","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","F6","58101"
"58101-P2A00","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai/Kia","P2","58101"
"51712-R5000","real_hk_seeded","exists","Brakes","Brake Disc - Front","brake,disc,front","Hyundai/Kia","R5","51712"
"26350-2J001","real_hk_seeded","exists","Engine","Oil Filter","oil,filter","Hyundai/Kia","2J","26350"
"58101-N9A11","real_hk_seeded","exists","Brakes","Brake Pad Set - Front","brake,pad,set,front","Hyundai","N9","58101"
"51712-AO000","real_hk_seeded","exists","Brakes","Brake Disc - Front","brake,disc,front","Hyundai/Kia","AO","51712"
"58411-B2500","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Kia","B2","58411"
"21950-3X300","real_hk_coarse","exists","Engine","Engine Block & Internals","engine,block,internals","Hyundai","3X","21950"
"26310-2S000","real_hk_seeded","exists","Engine","Oil Pan","oil,pan","Hyundai","2S","26310"
"92102-CV020","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Hyundai","CV","92102"
"82650-CV000","real_hk_seeded","exists","Body","Window Regulator - Front","window,regulator,front","Hyundai","CV","82650"
"58302-N9A15","real_hk_seeded","exists","Brakes","Brake Pad Set - Rear","brake,pad,set,rear","Hyundai","N9","58302"
"92101-CV020","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Hyundai","CV","92101"
"26310-2S002","real_hk_seeded","exists","Engine","Oil Pan","oil,pan","Hyundai","2S","26310"
"77121-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","77121"
"09314-L1100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","L1","09314"
"09430-A5200","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","A5","09430"
"58920-N9010","real_hk_coarse","exists","Brakes","Brake Fluid Reservoir","brake,fluid,reservoir","Hyundai","N9","58920"
"49300-N9000","real_hk_coarse","exists","Drivetrain","Transfer Case / 4WD","transfer,case,4wd","Hyundai","N9","49300"
"77003-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","77003"
"25310-C5180","real_hk_seeded","exists","Cooling","Radiator","radiator","Hyundai","C5","25310"
"62405-C5CB0","real_hk_coarse","exists","Body","Front Structure","front,structure","Hyundai","C5","62405"
"96122-CV000","real_hk_coarse","exists","Electrical","Battery","battery","Hyundai","CV","96122"
"87610-CV100","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai","CV","87610"
"99140-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99140"
"99250-CV010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99250"
"39222-2S000","real_hk_coarse","exists","Electrical","Oxygen Sensor","oxygen,sensor","Hyundai","2S","39222"
"92101-P1090","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Kia","P1","92101"
"09127-H8000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","H8","09127"
"21350-2E740","real_hk_coarse","exists","Engine","Crankshaft & Bearings","crankshaft,bearings","Kia","2E","21350"
"77980-P1000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","77980"
"39210-2T060","real_hk_seeded","exists","Electrical","Oxygen Sensor","oxygen,sensor","Kia","2T","39210"
"92102-P1191","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Kia","P1","92102"
"77980-L2000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","L2","77980"
"87610-P1180","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Kia","P1","87610"
"39171-2ELC0","real_hk_coarse","exists","Electrical","Sensors & Control","sensors,control","Kia","2E","39171"
"87610-P1060","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Kia","P1","87610"
"80620-P1000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","80620"
"99241-P1200","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99241"
"20920-2GL01","real_hk_unseeded","exists","Unknown","Unknown","","Kia","2G","20920"
"99211-H8020","real_hk_unseeded","exists","Unknown","Unknown","","Kia","H8","99211"
"91931-A9010","real_hk_coarse","exists","Electrical","Wiring Harness","wiring,harness","Kia","A9","91931"
"99140-P1100","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99140"
"99140-P1000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99140"
"99211-H8010","real_hk_unseeded","exists","Unknown","Unknown","","Kia","H8","99211"
"80660-P1050","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","80660"
"92102-2T301","real_hk_seeded","exists","Electrical","Headlight - Front Right","headlight,front,right","Kia","2T","92102"
"82460-CV010","real_hk_seeded","exists","Body","Power Window Motor - Front","power,window,motor,front","Hyundai","CV","82460"
"92101-P1181","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Kia","P1","92101"
"87610-Q5840","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","Q5","87610"
"97134-CW010","real_hk_seeded","exists","HVAC","Cabin Air Filter","cabin,air,filter","Hyundai/Kia","CW","97134"
"39350-3N900","real_hk_seeded","exists","Electrical","MAF Sensor","maf,sensor","Hyundai/Kia","3N","39350"
"92101-S9500","real_hk_seeded","exists","Electrical","Headlight - Front Left","headlight,front,left","Hyundai/Kia","S9","92101"
"25310-N9700","real_hk_seeded","exists","Cooling","Radiator","radiator","Hyundai","N9","25310"
"58411-GI000","real_hk_seeded","exists","Brakes","Brake Disc - Rear","brake,disc,rear","Hyundai/Kia","GI","58411"
"28113-L5100","real_hk_seeded","exists","Engine","Air Filter","air,filter","Hyundai/Kia","L5","28113"
"92402-F6520","real_hk_seeded","exists","Electrical","Tail Light - Rear Right","tail,light,rear,right","Hyundai/Kia","F6","92402"
