"Query","ExpectedCategory","GoodTokens"
"oil filter","Oil Filter","oil,filter"
"oil filter sonata","Oil Filter","oil,filter,sonata"
"oil filter elantra","Oil Filter","oil,filter,elantra"
"oil filter tucson","Oil Filter","oil,filter,tucson"
"oil filter sportage","Oil Filter","oil,filter,sportage"
"oil filter rio","Oil Filter","oil,filter,rio"
"oil filter cerato","Oil Filter","oil,filter,cerato"
"oil filter sorento","Oil Filter","oil,filter,sorento"
"oil filter optima","Oil Filter","oil,filter,optima"
"hyundai oil filter","Oil Filter","hyundai,oil,filter"
"air filter","Air Filter","air,filter"
"engine air filter","Air Filter","engine,air,filter"
"air filter tucson","Air Filter","air,filter,tucson"
"air filter elantra","Air Filter","air,filter,elantra"
"air filter sportage","Air Filter","air,filter,sportage"
"air cleaner","Air Filter","air,filter"
"air filter kia","Air Filter","air,filter,kia"
"air intake filter","Air Filter","air,filter"
"cabin air filter","Cabin Air Filter","cabin,filter"
"cabin filter","Cabin Air Filter","cabin,filter"
"cabin air filter tucson","Cabin Air Filter","cabin,filter,tucson"
"cabin air filter elantra","Cabin Air Filter","cabin,filter,elantra"
"ac filter","Cabin Air Filter","cabin,filter"
"pollen filter","Cabin Air Filter","cabin,filter,pollen"
"cabin filter sonata","Cabin Air Filter","cabin,filter,sonata"
"cabin air filter kia rio","Cabin Air Filter","cabin,filter,rio"
"fuel filter","Fuel Filter","fuel,filter"
"fuel filter sonata","Fuel Filter","fuel,filter,sonata"
"fuel filter tucson","Fuel Filter","fuel,filter,tucson"
"diesel fuel filter","Fuel Filter","fuel,filter,diesel"
"gas filter","Fuel Filter","fuel,filter"
"fuel filter sorento","Fuel Filter","fuel,filter,sorento"
"brake pad","Brake Pad Set","brake,pad"
"brake pads","Brake Pad Set","brake,pad"
"brake pad set front","Brake Pad Set - Front","brake,pad,front"
"brake pad set rear","Brake Pad Set - Rear","brake,pad,rear"
"front brake pads","Brake Pad Set - Front","brake,pad,front"
"rear brake pads","Brake Pad Set - Rear","brake,pad,rear"
"brake pads sonata","Brake Pad Set","brake,pad,sonata"
"brake pads tucson","Brake Pad Set","brake,pad,tucson"
